q/a,Corcordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
DA,0,0,0,0,1,1
DB,0,0,0,0,1,1
DC,0,0,0,0,1,1
DD,0,0,0,0,1,1
DE,0,0,0,0,1,1
DF,0,0,0,0,1,1
DG,1,0,0,0,0,1
DG1,0,0,0,1,0,1
DH,0,1,0,0,0,1
DI,0,0,1,0,0,1
DJ,1,0,0,0,0,1
DO,0,1,0,0,0,1
DO1,0,1,0,0,0,1
