q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,1,1,0,2,0,4
B,2,0,0,1,1,4
C,3,0,0,1,0,4
D,4,0,0,0,0,4
E,1,3,0,0,0,4
F,2,1,0,1,0,4
G,4,0,0,0,0,4
H,1,3,0,0,0,4
I,4,0,0,0,0,4
J,1,2,0,1,0,4
K,1,2,0,1,0,4
L,2,1,0,1,0,4
M,2,0,1,0,1,4
N,3,1,0,0,0,4
O,3,0,0,1,0,4
P,1,1,0,2,0,4
Q,2,1,0,1,0,4
R,2,1,0,1,0,4
S,3,0,0,1,0,4
T,2,1,0,1,0,4
U,1,1,1,1,0,4
V,1,1,1,1,0,4
W,1,1,0,1,1,4
X,1,0,1,2,0,4
