q/a,Corcordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
DA,0,0,1,1,1,3
DB,0,0,1,0,2,3
DC,0,1,0,1,1,3
DD,0,0,1,1,1,3
DE,0,1,0,1,1,3
DF,0,0,1,1,1,3
DG,1,1,0,1,0,3
DG1,0,2,0,0,1,3
DH,1,1,1,0,0,3
DI,0,1,0,0,2,3
DJ,1,1,1,0,0,3
DO,1,1,1,0,0,3
DO1,0,1,2,0,0,3
