q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,2,5,0,0,0,7
B,1,3,1,1,1,7
C,2,3,0,0,2,7
D,3,3,0,0,1,7
E,0,5,0,1,1,7
F,1,4,0,2,0,7
G,3,4,0,0,0,7
H,1,5,0,1,0,7
I,1,5,0,1,0,7
J,1,5,1,0,0,7
K,2,3,2,0,0,7
L,3,3,0,0,1,7
M,1,2,2,1,1,7
N,1,5,0,1,0,7
O,3,4,0,0,0,7
P,3,3,1,0,0,7
Q,4,3,0,0,0,7
R,3,3,0,1,0,7
S,3,2,0,1,1,7
T,4,2,0,0,1,7
U,5,2,0,0,0,7
V,2,3,1,0,1,7
W,5,2,0,0,0,7
X,4,2,1,0,0,7
