q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,3,5,0,0,0,8
B,5,3,0,0,0,8
C,4,2,1,1,0,8
D,3,3,1,0,1,8
E,2,5,0,1,0,8
F,2,5,0,0,1,8
G,3,5,0,0,0,8
H,3,4,1,0,0,8
I,2,4,2,0,0,8
J,2,4,2,0,0,8
K,2,5,1,0,0,8
L,4,2,2,0,0,8
M,3,2,2,1,0,8
N,3,3,1,1,0,8
O,2,5,1,0,0,8
P,4,3,0,1,0,8
Q,6,2,0,0,0,8
R,4,3,1,0,0,8
S,2,3,1,2,0,8
T,4,4,0,0,0,8
U,5,3,0,0,0,8
V,4,2,1,1,0,8
W,4,4,0,0,0,8
X,3,2,2,1,0,8
