q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,4,4,0,0,0,8
B,4,4,0,0,0,8
C,3,3,0,2,0,8
D,3,3,1,0,1,8
E,5,2,0,1,0,8
F,3,5,0,0,0,8
G,5,3,0,0,0,8
H,2,5,0,0,1,8
I,6,2,0,0,0,8
J,4,4,0,0,0,8
K,4,3,0,1,0,8
L,4,3,1,0,0,8
M,2,4,1,0,1,8
N,4,4,0,0,0,8
O,4,3,1,0,0,8
P,4,2,1,1,0,8
Q,5,3,0,0,0,8
R,4,4,0,0,0,8
S,3,3,0,1,1,8
T,4,4,0,0,0,8
U,4,4,0,0,0,8
V,3,3,0,2,0,8
W,5,3,0,0,0,8
X,5,2,1,0,0,8
