q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,2,5,0,0,0,7
B,3,3,0,1,0,7
C,2,3,1,0,1,7
D,4,1,1,1,0,7
E,5,1,0,1,0,7
F,3,1,1,2,0,7
G,4,1,2,0,0,7
H,4,2,1,0,0,7
I,3,3,1,0,0,7
J,1,5,1,0,0,7
K,1,4,0,2,0,7
L,4,1,0,2,0,7
M,6,1,0,0,0,7
N,5,1,0,0,1,7
O,5,0,1,0,1,7
P,1,5,0,1,0,7
Q,6,0,1,0,0,7
R,4,2,1,0,0,7
S,3,2,1,1,0,7
T,4,2,1,0,0,7
U,2,4,0,1,0,7
V,0,5,2,0,0,7
W,2,1,1,2,1,7
X,3,1,1,2,0,7
