q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,7,4,0,0,0,11
B,8,2,0,1,0,11
C,6,2,0,1,2,11
D,8,0,0,1,2,11
E,5,5,1,0,0,11
F,8,2,0,1,0,11
G,9,2,0,0,0,11
H,5,4,2,0,0,11
I,10,1,0,0,0,11
J,9,1,0,1,0,11
K,7,4,0,0,0,11
L,8,2,0,1,0,11
M,7,3,0,1,0,11
N,7,3,1,0,0,11
O,7,3,0,1,0,11
P,5,5,0,1,0,11
Q,11,0,0,0,0,11
R,4,7,0,0,0,11
S,4,6,0,1,0,11
T,8,2,1,0,0,11
U,7,4,0,0,0,11
V,5,4,1,1,0,11
W,3,4,1,3,0,11
X,4,5,2,0,0,11
