q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,9,2,0,0,1,12
B,6,2,2,1,1,12
C,6,1,4,0,1,12
D,7,1,1,0,3,12
E,8,3,1,0,0,12
F,9,2,0,0,1,12
G,9,1,2,0,0,12
H,5,3,1,2,1,12
I,10,2,0,0,0,12
J,7,3,1,1,0,12
K,7,3,1,1,0,12
L,10,1,1,0,0,12
M,10,1,0,0,1,12
N,9,1,0,1,1,12
O,6,2,2,1,1,12
P,3,7,2,0,0,12
Q,9,3,0,0,0,12
R,6,5,0,1,0,12
S,5,3,2,1,1,12
T,11,0,1,0,0,12
U,9,2,1,0,0,12
V,6,4,2,0,0,12
W,3,5,1,2,1,12
X,4,5,2,1,0,12
