q/a,Corcordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,6,6,0,0,0,12
B,4,7,0,1,0,12
C,4,7,0,1,0,12
D,4,7,0,0,1,12
E,5,6,0,1,0,12
F,1,8,2,0,1,12
G,5,5,1,1,0,12
H,5,6,1,0,0,12
I,6,5,1,0,0,12
J,3,7,0,1,1,12
K,3,9,0,0,0,12
L,4,7,0,1,0,12
M,3,5,2,1,1,12
N,1,10,0,1,0,12
O,5,5,1,1,0,12
P,6,4,1,1,0,12
Q,6,6,0,0,0,12
R,4,8,0,0,0,12
S,3,6,2,0,1,12
T,2,9,0,1,0,12
U,7,5,0,0,0,12
W,6,5,1,0,0,12
V,8,2,1,1,0,12
X,5,5,1,1,0,12
