q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
CA,3,2,1,0,0,6
CB,2,2,1,1,0,6
CC,3,2,1,0,0,6
CD,1,5,0,0,0,6
CE,2,3,0,1,0,6
CF,2,4,0,0,0,6
CG,1,2,0,1,0,4
CH,4,2,0,0,0,6
CI,1,0,2,2,1,6
CJ,5,1,0,0,0,6
CK,3,2,1,0,0,6
CL,2,3,1,0,0,6
CM,1,3,0,2,0,6
CN,3,2,1,0,0,6
