q/a,Corcordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,3,1,0,0,0,4
B,2,2,0,0,0,4
C,0,2,0,1,1,4
D,1,1,1,0,1,4
E,0,2,1,0,1,4
F,2,1,0,0,1,4
G,2,1,0,1,0,4
H,2,2,0,0,0,4
I,2,2,0,0,0,4
J,2,1,0,1,0,4
K,0,3,0,1,0,4
L,1,1,0,1,1,4
M,1,0,1,2,0,4
N,0,2,2,0,0,4
O,1,2,0,0,1,4
P,2,1,1,0,0,4
Q,1,2,1,0,0,4
R,0,3,1,0,0,4
S,1,0,2,0,1,4
T,2,1,0,1,0,4
U,4,0,0,0,0,4
W,3,0,0,1,0,4
V,2,2,0,0,0,4
X,3,0,1,0,0,4
