# This file is called	sample.dat
q/a	"Corcorda" "Concorda em partes"	"Indiferente" "Discorda em partes"	"Discorda"	"Total"
A	9	3	1	0	1	14
B	5	6	1	1	1	14
C	9	3	2	0	0	14
D	7	4	1	2	0	14	
