q/a,Concordo,Concordo em partes,Indiferente,Discordo em partes,Discordo,Total
A,10,1,2,0,0,13
B,7,4,0,2,0,13
C,6,3,1,2,1,13
D,7,2,2,0,2,13
E,6,4,1,1,1,13
F,6,5,0,1,1,13
G,10,3,0,0,0,13
H,3,8,1,1,0,13
I,7,6,0,0,0,13
J,7,2,2,1,1,13
K,6,4,2,1,0,13
L,10,1,0,1,1,13
M,7,3,1,2,0,13
N,8,2,2,0,1,13
O,6,6,0,0,1,13
P,3,6,2,1,1,13
Q,7,3,2,0,1,13
R,6,6,1,0,0,13
S,6,5,0,1,1,13
T,7,3,2,1,0,13
U,7,4,2,0,0,13
V,7,4,1,0,1,13
W,4,3,2,3,1,13
X,3,6,1,0,3,13
